Name,Nickname,Victories,Defeats,Draws,Height_cm,Weight_kg,Reach_cm,stance_x,Date of Birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,Name,name_y,wins_y,losses_y,height,weight,reach,stance_y,Age,Sig_Strikes_Minute,Sig_Strikes Accuracy,Sig_Strikes_Absorved_Min,Sig_Strikes_Defence,Av_TD_Landed_per_15_Min,Takedown_Accuracy,Takedown_Defence,Av_Subm_Attemt_per_15_Min
Renato Sobral,Babalu,37,11,0,185.42,92.99,190.5,Orthodox,1975-09-07,2.23,45.0,1.53,57.0,2.48,42.0,65.0,2.6,renato sobral,Renato Sobral,37.0,11.0,185.42,92.99,190.5,Orthodox,48.0,2.23,0.45,1.53,0.57,2.48,0.42,0.65,2.6
Daniel Roberts,Ninja,15,7,0,177.8,77.11,187.96,Southpaw,1980-08-05,0.73,20.0,2.27,46.0,2.46,44.0,40.0,2.5,daniel roberts,Daniel Roberts,15.0,7.0,177.8,77.11,187.96,Southpaw,43.0,0.73,0.2,2.27,0.46,2.46,0.44,0.4,2.5
Daniel Spohn,Dragon,15,6,0,193.04,92.99,200.66,Southpaw,1984-10-12,2.42,49.0,1.6,53.0,0.0,0.0,28.0,2.5,daniel spohn,Daniel Spohn,15.0,6.0,193.04,92.99,200.66,Southpaw,39.0,2.42,0.49,1.6,0.53,0.0,0.0,0.28,2.5
Ken Shamrock,The World's Most Dangerous Man,28,17,2,185.42,92.99,182.88,Orthodox,1964-02-11,1.47,46.0,4.3,39.0,0.94,60.0,44.0,2.5,ken shamrock,Ken Shamrock,28.0,17.0,185.42,92.99,182.88,Orthodox,60.0,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5
Thomas Petersen,The Train,8,1,0,185.42,119.75,187.96,Southpaw,1995-03-30,3.59,73.0,2.45,40.0,7.34,100.0,100.0,2.5,thomas petersen,Thomas Petersen,8.0,2.0,185.42,119.75,187.96,Southpaw,28.0,3.79,0.68,3.79,0.46,2.84,0.44,1.0,0.7
Tamdan McCrory,The Barncat,14,5,0,193.04,83.91,193.04,Switch,1986-11-05,2.07,49.0,1.6,46.0,2.28,50.0,33.0,2.5,tamdan mccrory,Tamdan McCrory,14.0,5.0,193.04,83.91,193.04,Switch,37.0,2.07,0.49,1.6,0.46,2.28,0.5,0.33,2.5
Jailton Almeida,Malhadinho,20,2,0,190.5,92.99,200.66,Orthodox,1991-06-26,2.78,64.0,0.52,43.0,5.14,55.0,75.0,2.4,jailton almeida,Jailton Almeida,20.0,3.0,190.5,92.99,200.66,Orthodox,32.0,2.54,0.64,0.74,0.4,6.88,0.59,0.75,2.2
Juan Espino,El Guapo,11,2,0,190.5,115.67,203.2,Orthodox,1980-10-09,2.38,70.0,1.95,40.0,8.93,78.0,50.0,2.4,juan espino,Juan Espino,11.0,2.0,190.5,115.67,203.2,Orthodox,43.0,2.38,0.7,1.95,0.4,8.93,0.78,0.5,2.4
Jason Lambert,The Punisher,26,13,0,190.5,83.91,190.5,Orthodox,1975-06-03,3.21,58.0,1.84,50.0,1.35,36.0,28.0,2.4,jason lambert,Jason Lambert,26.0,13.0,190.5,83.91,190.5,Orthodox,48.0,3.21,0.58,1.84,0.5,1.35,0.36,0.28,2.4
Noad Lahat,Neo,11,2,0,175.26,65.77,175.26,Orthodox,1984-06-08,2.79,46.0,1.47,63.0,2.37,26.0,16.0,2.4,noad lahat,Noad Lahat,11.0,2.0,175.26,65.77,175.26,Orthodox,39.0,2.79,0.46,1.47,0.63,2.37,0.26,0.16,2.4
Paddy Pimblett,The Baddy,20,3,0,177.8,70.31,185.42,Orthodox,1995-01-03,4.19,46.0,3.48,41.0,0.97,25.0,56.0,2.4,paddy pimblett,Paddy Pimblett,21.0,3.0,177.8,70.31,185.42,Orthodox,29.0,5.13,0.52,3.7,0.41,0.98,0.25,0.56,1.6
Gabriel Miranda,Fly,17,6,0,180.34,65.77,180.34,Orthodox,1990-03-25,3.52,51.0,6.88,39.0,4.8,40.0,0.0,2.4,gabriel miranda,Gabriel Miranda,17.0,6.0,180.34,65.77,180.34,Orthodox,34.0,3.52,0.51,6.88,0.39,4.8,0.4,0.0,2.4
Rob Kimmons,The Rosedale Reaper,25,9,0,177.8,83.91,185.42,Orthodox,1981-01-30,1.86,48.0,4.79,38.0,2.08,46.0,25.0,2.4,rob kimmons,Rob Kimmons,25.0,9.0,177.8,83.91,185.42,Orthodox,43.0,1.86,0.48,4.79,0.38,2.08,0.46,0.25,2.4
Antonio Rodrigo Nogueira,Minotauro,34,10,1,190.5,108.86,195.58,Orthodox,1976-06-02,1.95,42.0,2.4,55.0,1.3,29.0,36.0,2.4,antonio rodrigo nogueira,Antonio Rodrigo Nogueira,34.0,10.0,190.5,108.86,195.58,Orthodox,47.0,1.95,0.42,2.4,0.55,1.3,0.29,0.36,2.4
Chris Lytle,Lights Out,31,18,5,180.34,77.11,172.72,Orthodox,1974-08-18,3.76,45.0,3.03,58.0,0.7,55.0,55.0,2.4,chris lytle,Chris Lytle,31.0,18.0,180.34,77.11,172.72,Orthodox,49.0,3.76,0.45,3.03,0.58,0.7,0.55,0.55,2.4
Joe Doerksen,El Dirte,51,16,0,182.88,83.91,190.5,Orthodox,1977-10-09,1.43,42.0,2.79,50.0,2.02,33.0,33.0,2.3,joe doerksen,Joe Doerksen,51.0,16.0,182.88,83.91,190.5,Orthodox,46.0,1.43,0.42,2.79,0.5,2.02,0.33,0.33,2.3
JP Buys,Young Savage,9,6,0,165.1,61.23,170.18,Orthodox,1996-04-30,1.88,39.0,3.02,40.0,1.55,25.0,25.0,2.3,jp buys,JP Buys,9.0,6.0,165.1,61.23,170.18,Orthodox,27.0,1.88,0.39,3.02,0.4,1.55,0.25,0.25,2.3
Brandon Royval,Raw Dawg,15,6,0,175.26,56.7,172.72,Southpaw,1992-08-16,3.45,38.0,2.63,50.0,0.66,100.0,39.0,2.3,brandon royval,Brandon Royval,16.0,7.0,175.26,56.7,172.72,Southpaw,31.0,4.33,0.36,3.42,0.46,0.47,0.6,0.4,1.1
Chas Skelly,The Scrapper,19,3,0,180.34,65.77,182.88,Orthodox,1985-05-11,2.01,40.0,3.21,49.0,1.74,34.0,39.0,2.3,chas skelly,Chas Skelly,19.0,3.0,180.34,65.77,182.88,Orthodox,38.0,2.01,0.4,3.21,0.49,1.74,0.34,0.39,2.3
Ruan Potts,Fangzz,11,6,0,187.96,112.04,190.5,Orthodox,1978-02-23,0.85,37.0,5.92,22.0,0.75,16.0,33.0,2.3,ruan potts,Ruan Potts,11.0,6.0,187.96,112.04,190.5,Orthodox,46.0,0.85,0.37,5.92,0.22,0.75,0.16,0.33,2.3
Seth Petruzelli,The Silverback,14,8,0,182.88,92.99,193.04,Orthodox,1979-12-03,2.17,41.0,2.08,55.0,0.46,50.0,47.0,2.3,seth petruzelli,Seth Petruzelli,14.0,8.0,182.88,92.99,193.04,Orthodox,44.0,2.17,0.41,2.08,0.55,0.46,0.5,0.47,2.3
Kaynan Kruschewsky,Bahia,15,2,0,182.88,70.31,185.42,Orthodox,1991-04-04,5.08,39.0,4.79,47.0,2.18,100.0,0.0,2.2,kaynan kruschewsky,Kaynan Kruschewsky,15.0,2.0,182.88,70.31,185.42,Orthodox,32.0,5.08,0.39,4.79,0.47,2.18,1.0,0.0,2.2
Drew Fickett,The Master,42,21,0,177.8,70.31,177.8,Orthodox,1979-12-14,2.33,41.0,2.29,57.0,1.3,35.0,30.0,2.2,drew fickett,Drew Fickett,42.0,21.0,177.8,70.31,177.8,Orthodox,44.0,2.33,0.41,2.29,0.57,1.3,0.35,0.3,2.2
Ryan Hall,The Wizard,9,2,0,177.8,65.77,177.8,Southpaw,1985-02-22,2.38,50.0,1.33,65.0,0.22,9.0,0.0,2.2,ryan hall,Ryan Hall,9.0,2.0,177.8,65.77,177.8,Southpaw,39.0,2.38,0.5,1.33,0.65,0.22,0.09,0.0,2.2
Dustin Kimura,The Diamond,11,3,0,170.18,61.23,180.34,Orthodox,1989-05-21,1.33,21.0,3.82,51.0,0.93,37.0,50.0,2.2,dustin kimura,Dustin Kimura,11.0,3.0,170.18,61.23,180.34,Orthodox,34.0,1.33,0.21,3.82,0.51,0.93,0.37,0.5,2.2
Josh Grispi,The Fluke,14,5,0,180.34,65.77,187.96,Orthodox,1988-10-14,1.44,41.0,3.71,50.0,1.97,36.0,16.0,2.2,josh grispi,Josh Grispi,14.0,5.0,180.34,65.77,187.96,Orthodox,35.0,1.44,0.41,3.71,0.5,1.97,0.36,0.16,2.2
Danny Henry,The Hatchet,12,4,0,182.88,65.77,185.42,Orthodox,1988-07-17,5.2,51.0,4.16,45.0,0.74,33.0,50.0,2.2,danny henry,Danny Henry,12.0,4.0,182.88,65.77,185.42,Orthodox,35.0,5.2,0.51,4.16,0.45,0.74,0.33,0.5,2.2
Joe Stevenson,Daddy,33,16,0,170.18,65.77,177.8,Orthodox,1982-06-15,2.05,44.0,2.44,60.0,2.75,44.0,39.0,2.2,joe stevenson,Joe Stevenson,33.0,16.0,170.18,65.77,177.8,Orthodox,41.0,2.05,0.44,2.44,0.6,2.75,0.44,0.39,2.2
Jake Hadley,White Kong,10,2,0,170.18,56.7,177.8,Southpaw,1996-08-03,3.42,44.0,3.2,60.0,0.32,25.0,35.0,2.2,jake hadley,Jake Hadley,10.0,2.0,170.18,56.7,177.8,Southpaw,27.0,3.42,0.44,3.2,0.6,0.32,0.25,0.35,2.2
Chase Hooper,The Dream,13,3,1,185.42,70.31,187.96,Southpaw,1999-09-13,4.86,51.0,3.59,36.0,1.42,22.0,55.0,2.2,chase hooper,Chase Hooper,13.0,3.0,185.42,70.31,187.96,Southpaw,24.0,4.86,0.51,3.59,0.36,1.42,0.22,0.55,2.2
Polyana Viana,Dama de Ferro,13,6,0,165.1,52.16,170.18,Orthodox,1992-06-14,3.19,41.0,2.63,55.0,0.93,33.0,43.0,2.1,polyana viana,Polyana Viana,13.0,7.0,165.1,52.16,170.18,Orthodox,31.0,2.99,0.4,2.65,0.53,0.82,0.33,0.38,1.9
Mackens Semerzier,Da Menace,8,4,0,175.26,65.77,182.88,Orthodox,1980-11-03,2.91,45.0,3.48,46.0,2.14,50.0,50.0,2.1,mackens semerzier,Mackens Semerzier,8.0,4.0,175.26,65.77,182.88,Orthodox,43.0,2.91,0.45,3.48,0.46,2.14,0.5,0.5,2.1
Dennis Hallman,Superman,53,20,2,175.26,70.31,182.88,Orthodox,1975-12-02,1.12,44.0,1.96,43.0,1.79,30.0,25.0,2.1,dennis hallman,Dennis Hallman,53.0,20.0,175.26,70.31,182.88,Orthodox,48.0,1.12,0.44,1.96,0.43,1.79,0.3,0.25,2.1
Josh Sampo,The Gremlin,11,5,0,162.56,56.7,162.56,Orthodox,1984-07-24,1.99,36.0,2.96,55.0,1.06,33.0,40.0,2.1,josh sampo,Josh Sampo,11.0,5.0,162.56,56.7,162.56,Orthodox,39.0,1.99,0.36,2.96,0.55,1.06,0.33,0.4,2.1
Harry Hunsucker,The Hurricane,7,6,0,187.96,92.99,190.5,Orthodox,1989-01-03,3.54,52.0,6.53,42.0,0.0,0.0,0.0,2.0,harry hunsucker,Harry Hunsucker,7.0,6.0,187.96,92.99,190.5,Orthodox,35.0,3.54,0.52,6.53,0.42,0.0,0.0,0.0,2.0
Jacob Volkmann,Christmas,19,7,0,175.26,70.31,180.34,Southpaw,1980-09-05,1.19,34.0,1.78,52.0,3.19,48.0,52.0,2.0,jacob volkmann,Jacob Volkmann,19.0,7.0,175.26,70.31,180.34,Southpaw,43.0,1.19,0.34,1.78,0.52,3.19,0.48,0.52,2.0
David Mitchell,Daudi,22,7,0,182.88,77.11,190.5,Orthodox,1979-10-24,1.74,32.0,2.06,55.0,0.66,50.0,29.0,2.0,david mitchell,David Mitchell,22.0,7.0,182.88,77.11,190.5,Orthodox,44.0,1.74,0.32,2.06,0.55,0.66,0.5,0.29,2.0
Jafel Filho,Pastor,15,3,0,170.18,56.7,172.72,Orthodox,1993-05-05,2.0,37.0,2.31,45.0,1.53,27.0,55.0,2.0,jafel filho,Jafel Filho,16.0,3.0,170.18,56.7,172.72,Orthodox,30.0,2.36,0.41,2.0,0.47,1.77,0.33,0.55,2.6
Jason MacDonald,The Athlete,25,16,0,190.5,83.91,203.2,Orthodox,1975-06-03,1.55,52.0,2.7,46.0,1.43,16.0,35.0,2.0,jason macdonald,Jason MacDonald,25.0,16.0,190.5,83.91,203.2,Orthodox,48.0,1.55,0.52,2.7,0.46,1.43,0.16,0.35,2.0
John Gunderson,Quick Guns,35,16,2,175.26,70.31,175.26,Orthodox,1979-01-05,1.04,27.0,1.71,58.0,1.67,33.0,11.0,2.0,john gunderson,John Gunderson,35.0,16.0,175.26,70.31,175.26,Orthodox,45.0,1.04,0.27,1.71,0.58,1.67,0.33,0.11,2.0
Martin Kampmann,The Hitman,20,7,0,182.88,77.11,182.88,Orthodox,1982-04-17,3.22,42.0,3.28,62.0,1.86,41.0,78.0,2.0,martin kampmann,Martin Kampmann,20.0,7.0,182.88,77.11,182.88,Orthodox,41.0,3.22,0.42,3.28,0.62,1.86,0.41,0.78,2.0
Joe Soto,One Bad Mofo,18,7,0,167.64,61.23,165.1,Orthodox,1987-03-22,3.36,41.0,5.37,67.0,0.85,21.0,70.0,1.9,joe soto,Joe Soto,18.0,7.0,167.64,61.23,165.1,Orthodox,37.0,3.36,0.41,5.37,0.67,0.85,0.21,0.7,1.9
Jessamyn Duke,The Gun,3,5,0,180.34,61.23,185.42,Orthodox,1986-06-24,4.83,53.0,4.43,57.0,1.27,36.0,50.0,1.9,jessamyn duke,Jessamyn Duke,3.0,5.0,180.34,61.23,185.42,Orthodox,37.0,4.83,0.53,4.43,0.57,1.27,0.36,0.5,1.9
Jordan Griffin,Native Psycho,18,9,0,177.8,65.77,185.42,Southpaw,1990-02-28,2.52,46.0,3.02,50.0,1.45,35.0,42.0,1.9,jordan griffin,Jordan Griffin,18.0,9.0,177.8,65.77,185.42,Southpaw,34.0,2.52,0.46,3.02,0.5,1.45,0.35,0.42,1.9
Jon Delos Reyes,The Heat,8,5,0,167.64,56.7,170.18,Orthodox,1987-08-19,2.99,38.0,4.14,51.0,3.2,83.0,55.0,1.9,jon delos reyes,Jon Delos Reyes,8.0,5.0,167.64,56.7,170.18,Orthodox,36.0,2.99,0.38,4.14,0.51,3.2,0.83,0.55,1.9
Vagner Rocha,Ceara,14,4,0,177.8,70.31,185.42,Orthodox,1982-06-06,2.64,42.0,4.5,48.0,1.4,33.0,50.0,1.9,vagner rocha,Vagner Rocha,14.0,4.0,177.8,70.31,185.42,Orthodox,41.0,2.64,0.42,4.5,0.48,1.4,0.33,0.5,1.9
Aleksei Oleinik,The Boa Constrictor,60,17,1,187.96,108.86,203.2,Orthodox,1977-06-20,3.29,48.0,3.8,44.0,1.82,46.0,37.0,1.9,aleksei oleinik,Aleksei Oleinik,60.0,17.0,187.96,108.86,203.2,Orthodox,46.0,3.29,0.48,3.8,0.44,1.82,0.46,0.37,1.9
Don Shainis,Shameless,12,5,0,167.64,65.77,170.18,Orthodox,1990-09-16,3.42,50.0,5.87,31.0,0.97,25.0,20.0,1.9,don shainis,Don Shainis,12.0,5.0,167.64,65.77,170.18,Orthodox,33.0,3.42,0.5,5.87,0.31,0.97,0.25,0.2,1.9
Dan Argueta,The Determined,9,2,0,170.18,61.23,172.72,Southpaw,1993-08-13,2.35,47.0,1.9,52.0,2.54,50.0,60.0,1.9,dan argueta,Dan Argueta,9.0,1.0,170.18,61.23,172.72,Southpaw,30.0,2.35,0.47,1.9,0.52,2.54,0.5,0.6,1.9
Raul Rosas Jr.,El Nino Problema,8,1,0,175.26,61.23,170.18,Switch,2004-10-08,1.28,44.0,1.52,46.0,3.57,33.0,0.0,1.8,raul rosas jr.,Raul Rosas Jr.,8.0,1.0,175.26,61.23,170.18,Switch,19.0,1.28,0.44,1.52,0.46,3.57,0.33,0.0,1.8
Miguel Baeza,Caramel Thunder,10,3,0,187.96,77.11,187.96,Orthodox,1992-08-23,4.88,49.0,5.1,53.0,0.44,28.0,100.0,1.8,miguel baeza,Miguel Baeza,10.0,3.0,187.96,77.11,187.96,Orthodox,31.0,4.88,0.49,5.1,0.53,0.44,0.28,1.0,1.8
Amanda Cooper,ABC,3,5,0,160.02,52.16,162.56,Switch,1991-10-22,3.55,44.0,3.2,51.0,1.53,38.0,28.0,1.8,amanda cooper,Amanda Cooper,3.0,5.0,160.02,52.16,162.56,Switch,32.0,3.55,0.44,3.2,0.51,1.53,0.38,0.28,1.8
