name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Tai Tuivasa,15.0,7.0,187.96,119.75,190.5,Southpaw,31.0,3.96,0.49,5.05,0.43,0.0,0.0,0.57,0.0
Marcin Tybura,25.0,8.0,190.5,112.94,198.12,Orthodox,38.0,3.6,0.48,3.35,0.55,1.43,0.33,0.79,0.1
Ovince Saint Preux,27.0,17.0,190.5,92.99,203.2,Southpaw,40.0,3.03,0.47,3.32,0.47,1.1,0.36,0.67,0.5
Kennedy Nzechukwu,12.0,5.0,195.58,92.99,210.82,Southpaw,31.0,5.13,0.45,4.9,0.5,0.6,0.45,0.8,0.2
Christian Rodriguez,11.0,1.0,170.18,65.77,180.34,Orthodox,26.0,3.45,0.48,2.28,0.57,1.14,0.54,0.66,1.1
Isaac Dulgarian,6.0,1.0,170.18,65.77,180.34,Orthodox,27.0,2.88,0.58,2.53,0.39,6.06,0.47,0.0,1.5
Pannie Kianzad,17.0,8.0,170.18,61.23,167.64,Orthodox,32.0,4.74,0.49,3.67,0.53,0.46,0.33,0.66,0.1
Macy Chiasson,10.0,3.0,180.34,61.23,182.88,Orthodox,32.0,3.53,0.44,2.53,0.46,2.38,0.37,0.62,0.5
Gerald Meerschaert,36.0,17.0,185.42,83.91,195.58,Southpaw,36.0,3.18,0.45,3.37,0.53,2.17,0.38,0.34,1.6
Bryan Barberena,18.0,12.0,182.88,83.91,182.88,Southpaw,34.0,5.35,0.48,4.59,0.44,0.13,0.22,0.5,0.3
Natan Levy,8.0,2.0,175.26,70.31,180.34,Southpaw,32.0,3.7,0.52,3.19,0.58,5.03,0.58,0.41,0.5
Mike Davis,11.0,2.0,182.88,70.31,182.88,Orthodox,31.0,5.35,0.52,5.76,0.55,2.77,0.53,0.64,0.4
Josiane Nunes,10.0,2.0,157.48,61.23,170.18,Southpaw,30.0,5.99,0.44,5.25,0.53,0.0,0.0,0.58,0.0
Chelsea Chandler,6.0,2.0,172.72,61.23,172.72,Southpaw,33.0,3.45,0.45,3.09,0.49,1.31,0.6,0.33,0.0
Jafel Filho,16.0,3.0,170.18,56.7,172.72,Orthodox,30.0,2.36,0.41,2.0,0.47,1.77,0.33,0.55,2.6
Ode Osbourne,12.0,7.0,170.18,56.7,185.42,Southpaw,32.0,3.46,0.38,4.44,0.44,1.27,0.27,0.64,0.2
Josh Culibao,11.0,3.0,177.8,65.77,185.42,Orthodox,29.0,3.2,0.42,3.24,0.56,0.0,0.0,0.67,0.3
Danny Silva,9.0,1.0,180.34,65.77,177.8,Switch,27.0,8.3,0.58,9.47,0.59,3.0,0.5,1.0,0.5
Jaqueline Amorim,8.0,1.0,160.02,52.16,172.72,Orthodox,28.0,3.33,0.52,1.85,0.62,1.48,0.23,0.0,5.4
Cory McKenna,8.0,3.0,160.02,52.16,147.32,Orthodox,24.0,3.0,0.4,3.19,0.48,2.22,0.58,0.71,0.4
Thiago Moises,18.0,7.0,175.26,70.31,177.8,Orthodox,29.0,2.47,0.4,4.19,0.55,1.64,0.44,0.56,1.3
Mitch Ramirez,8.0,2.0,180.34,70.31,180.34,Orthodox,31.0,2.37,0.42,3.34,0.36,0.91,1.0,0.0,0.0
Charalampos Grigoriou,8.0,4.0,170.18,61.23,170.18,Orthodox,31.0,2.13,0.4,5.56,0.46,3.75,0.8,1.0,0.0
Chad Anheliger,13.0,7.0,167.64,61.23,162.56,Orthodox,37.0,3.6,0.45,3.11,0.53,0.82,0.3,0.42,0.6
Sean O'Malley,18.0,1.0,180.34,61.23,182.88,Switch,29.0,7.63,0.61,3.52,0.62,0.35,0.42,0.62,0.3
Marlon Vera,23.0,9.0,172.72,61.23,177.8,Switch,31.0,4.31,0.49,5.48,0.5,0.53,0.39,0.7,0.9
Dustin Poirier,30.0,8.0,175.26,70.31,182.88,Southpaw,35.0,5.45,0.51,4.36,0.53,1.33,0.36,0.63,1.4
Benoit Saint Denis,13.0,2.0,180.34,70.31,185.42,Southpaw,28.0,5.7,0.54,4.98,0.42,4.76,0.37,0.69,1.5
Kevin Holland,25.0,11.0,190.5,77.11,205.74,Orthodox,31.0,4.24,0.49,3.19,0.5,0.85,0.38,0.54,0.6
Michael Page,22.0,2.0,190.5,77.11,200.66,Switch,36.0,3.14,0.69,1.6,0.55,0.77,0.25,0.66,0.0
Gilbert Burns,22.0,7.0,177.8,77.11,180.34,Orthodox,37.0,3.29,0.48,3.42,0.54,2.24,0.38,0.5,0.5
Jack Della Maddalena,17.0,2.0,180.34,77.11,185.42,Switch,27.0,6.74,0.53,4.27,0.66,0.21,0.16,0.7,0.2
Petr Yan,17.0,5.0,170.18,61.23,170.18,Switch,31.0,5.14,0.53,4.36,0.58,1.73,0.51,0.85,0.1
Song Yadong,21.0,8.0,172.72,61.23,170.18,Orthodox,26.0,4.49,0.43,3.96,0.55,0.66,0.4,0.72,0.2
Curtis Blaydes,18.0,4.0,193.04,120.2,203.2,Orthodox,33.0,3.53,0.5,1.83,0.59,5.72,0.53,0.31,0.0
Jailton Almeida,20.0,3.0,190.5,92.99,200.66,Orthodox,32.0,2.54,0.64,0.74,0.4,6.88,0.59,0.75,2.2
Katlyn Cerminara,18.0,6.0,175.26,56.7,172.72,Orthodox,35.0,4.58,0.34,4.48,0.62,0.31,0.15,0.5,0.3
Maycee Barber,14.0,2.0,165.1,56.7,165.1,Switch,25.0,4.7,0.53,2.9,0.54,1.44,0.43,0.53,0.1
Mateusz Gamrot,24.0,2.0,177.8,70.31,177.8,Southpaw,33.0,3.09,0.51,3.07,0.59,5.28,0.35,0.9,0.1
Rafael Dos Anjos,32.0,16.0,172.72,70.31,177.8,Southpaw,39.0,3.48,0.47,3.21,0.6,1.95,0.35,0.55,0.6
Pedro Munhoz,20.0,9.0,167.64,61.23,165.1,Orthodox,37.0,5.32,0.43,6.23,0.56,0.51,0.18,0.82,0.5
Kyler Phillips,12.0,2.0,172.72,61.23,182.88,Orthodox,28.0,5.72,0.45,3.38,0.61,2.41,0.46,0.75,0.5
Ion Cutelaba,17.0,10.0,185.42,92.99,190.5,Southpaw,30.0,4.44,0.43,3.43,0.47,4.17,0.57,0.76,0.0
Philipe Lins,18.0,5.0,187.96,92.99,198.12,Orthodox,38.0,3.8,0.49,3.59,0.46,1.65,0.33,1.0,0.0
Michel Pereira,30.0,11.0,185.42,83.91,185.42,Orthodox,30.0,5.15,0.54,3.71,0.58,1.55,0.55,0.94,0.7
Michal Oleksiejczuk,19.0,7.0,182.88,83.91,187.96,Southpaw,29.0,5.06,0.5,4.26,0.61,0.75,0.44,0.48,0.0
Robelis Despaigne,5.0,0.0,200.66,120.2,213.36,Orthodox,35.0,23.33,0.77,6.67,0.6,0.0,0.0,0.0,0.0
Josh Parisian,15.0,8.0,193.04,120.2,200.66,Orthodox,34.0,4.55,0.48,4.88,0.41,0.98,0.33,0.46,0.2
CJ Vergara,12.0,5.0,167.64,56.7,172.72,Orthodox,32.0,5.24,0.57,4.62,0.52,0.0,0.0,0.6,0.2
Asu Almabayev,19.0,2.0,162.56,56.7,165.1,Orthodox,30.0,3.02,0.59,1.42,0.53,7.12,0.57,0.0,1.3
Joanne Wood,17.0,8.0,167.64,56.7,165.1,Orthodox,38.0,7.1,0.51,4.89,0.51,1.52,0.55,0.58,0.3
Maryna Moroz,11.0,6.0,170.18,56.7,170.18,Orthodox,32.0,4.42,0.33,4.89,0.51,0.7,0.24,0.42,0.6
Jairzinho Rozenstruik,14.0,5.0,187.96,109.77,198.12,Orthodox,36.0,3.44,0.49,2.78,0.47,0.0,0.0,0.75,0.0
Shamil Gaziev,12.0,1.0,193.04,120.2,198.12,Orthodox,34.0,2.63,0.44,4.73,0.42,0.53,0.14,1.0,0.5
Vitor Petrino,11.0,0.0,187.96,92.99,195.58,Orthodox,26.0,2.74,0.45,2.49,0.45,3.86,0.68,0.71,0.8
Tyson Pedro,10.0,5.0,190.5,92.99,200.66,Orthodox,32.0,2.9,0.59,2.39,0.56,0.76,0.3,0.5,0.8
Alex Perez,24.0,8.0,167.64,56.7,165.1,Orthodox,32.0,4.12,0.46,3.14,0.59,2.26,0.44,0.82,1.0
Muhammad Mokaev,12.0,0.0,170.18,56.7,177.8,Orthodox,23.0,1.53,0.48,1.36,0.57,5.75,0.41,0.0,1.0
Umar Nurmagomedov,17.0,0.0,172.72,61.23,175.26,Orthodox,28.0,4.75,0.69,0.56,0.76,4.51,0.56,1.0,0.6
Bekzat Almakhan,11.0,2.0,170.18,61.23,172.72,Orthodox,26.0,0.2,0.18,4.53,0.3,0.0,0.0,0.0,0.0
Matt Schnell,16.0,8.0,172.72,56.7,177.8,Orthodox,34.0,4.23,0.38,4.56,0.55,0.59,0.44,0.5,1.0
Steve Erceg,12.0,1.0,172.72,56.7,172.72,Orthodox,28.0,4.57,0.48,3.64,0.55,1.69,0.3,0.77,0.8
Eryk Anders,16.0,8.0,185.42,83.91,190.5,Southpaw,36.0,3.41,0.47,4.17,0.5,1.79,0.26,0.79,0.1
Jamie Pickett,13.0,11.0,187.96,83.91,203.2,Orthodox,35.0,2.65,0.47,3.62,0.5,1.26,0.4,0.67,0.1
Vinicius Oliveira,20.0,3.0,175.26,61.23,177.8,Switch,28.0,5.42,0.47,2.94,0.5,1.69,0.5,0.4,0.0
Benardo Sopaj,11.0,3.0,167.64,61.23,167.64,Orthodox,23.0,3.06,0.52,4.56,0.53,3.06,0.75,0.5,0.0
Aiemann Zahabi,11.0,2.0,172.72,61.23,172.72,Orthodox,36.0,3.43,0.43,3.61,0.71,0.2,0.16,0.79,0.0
Javid Basharat,14.0,1.0,175.26,61.23,175.26,Orthodox,28.0,5.42,0.53,2.97,0.62,1.7,0.4,0.85,0.2
Christian Leroy Duncan,10.0,1.0,187.96,83.91,200.66,Switch,28.0,5.96,0.62,3.82,0.5,0.45,0.14,0.5,0.0
Claudio Ribeiro,11.0,5.0,185.42,83.91,195.58,Orthodox,31.0,3.59,0.51,4.9,0.3,0.56,0.5,0.66,0.0
Ludovit Klein,21.0,4.0,170.18,70.31,182.88,Southpaw,29.0,3.96,0.55,3.74,0.53,1.77,0.47,0.83,0.0
AJ Cunningham,11.0,4.0,177.8,70.31,180.34,Orthodox,29.0,7.66,0.29,11.9,0.48,0.0,0.0,0.33,0.0
Abdul-Kareem Al-Selwady,15.0,4.0,172.72,70.31,175.26,Orthodox,28.0,4.14,0.34,3.6,0.59,2.32,0.3,0.2,0.0
Loik Radzhabov,18.0,5.0,180.34,70.31,175.26,Orthodox,33.0,2.93,0.42,4.73,0.45,6.73,0.57,0.55,0.0
Brandon Moreno,21.0,8.0,170.18,56.7,177.8,Orthodox,30.0,3.87,0.44,3.63,0.59,1.74,0.46,0.63,0.5
Brandon Royval,16.0,7.0,175.26,56.7,172.72,Southpaw,31.0,4.33,0.36,3.42,0.46,0.47,0.6,0.4,1.1
Yair Rodriguez,16.0,5.0,180.34,65.77,180.34,Orthodox,31.0,4.65,0.46,3.99,0.52,0.69,0.27,0.58,0.7
Brian Ortega,16.0,3.0,172.72,65.77,175.26,Switch,33.0,4.07,0.38,6.54,0.49,1.17,0.27,0.57,1.2
Daniel Zellhuber,15.0,1.0,185.42,70.31,195.58,Switch,24.0,5.86,0.41,5.06,0.56,0.22,0.33,0.94,0.2
Francisco Prado,12.0,2.0,177.8,70.31,175.26,Orthodox,21.0,4.58,0.41,5.66,0.52,0.0,0.0,0.25,0.4
Yazmin Jauregui,11.0,1.0,160.02,52.16,162.56,Orthodox,25.0,6.26,0.38,5.12,0.55,0.0,0.0,1.0,0.0
Sam Hughes,8.0,6.0,165.1,52.16,162.56,Orthodox,31.0,4.03,0.45,4.51,0.56,0.96,0.3,0.57,0.0
Manuel Torres,15.0,2.0,177.8,70.31,185.42,Switch,29.0,8.14,0.58,3.15,0.56,3.26,0.66,0.88,1.6
Chris Duncan,11.0,2.0,177.8,70.31,180.34,Orthodox,30.0,4.88,0.46,3.65,0.49,3.85,0.38,0.33,0.0
Cristian Quinonez,18.0,5.0,172.72,61.23,177.8,Orthodox,27.0,4.19,0.4,4.55,0.55,1.37,0.37,0.84,0.0
Raoni Barcelos,18.0,5.0,170.18,61.23,170.18,Orthodox,36.0,5.22,0.51,4.79,0.61,1.86,0.32,0.85,0.6
Jesus Aguilar,10.0,2.0,162.56,56.7,157.48,Orthodox,28.0,1.49,0.5,1.11,0.59,1.9,0.33,0.4,1.4
Mateus Mendonca,10.0,3.0,167.64,56.7,180.34,Orthodox,25.0,1.66,0.4,4.14,0.3,2.54,0.27,0.55,0.4
Edgar Chairez,11.0,5.0,170.18,56.7,180.34,Orthodox,28.0,2.69,0.48,4.1,0.43,0.0,0.0,0.41,1.7
Daniel Lacerda,11.0,6.0,167.64,56.7,177.8,Switch,27.0,3.95,0.45,8.28,0.34,2.32,0.5,0.0,1.2
Claudio Puelles,13.0,4.0,177.8,70.31,182.88,Southpaw,27.0,1.56,0.49,2.78,0.46,3.17,0.36,0.6,1.2
Fares Ziam,15.0,4.0,185.42,70.31,190.5,Orthodox,27.0,2.7,0.48,1.72,0.65,0.81,0.23,0.67,0.2
Ronaldo Rodriguez,17.0,2.0,167.64,56.7,165.1,Orthodox,24.0,2.0,0.41,3.56,0.47,1.2,0.5,0.63,1.8
Denys Bondar,14.0,5.0,167.64,56.7,175.26,Orthodox,31.0,4.59,0.5,5.16,0.56,3.99,0.58,0.62,0.0
Victor Altamirano,12.0,4.0,172.72,56.7,177.8,Switch,33.0,4.55,0.57,3.7,0.54,3.43,0.39,0.63,0.0
Felipe dos Santos,8.0,1.0,170.18,56.7,177.8,Orthodox,23.0,4.53,0.34,5.07,0.4,0.0,0.0,0.16,0.5
Erik Silva,9.0,3.0,175.26,65.77,180.34,Orthodox,37.0,2.07,0.7,1.57,0.4,3.76,0.8,0.62,0.0
Muhammad Naimov,11.0,2.0,175.26,65.77,177.8,Orthodox,29.0,3.33,0.46,4.57,0.41,1.94,0.33,0.57,0.0
Alexander Volkanovski,26.0,4.0,167.64,65.77,180.34,Orthodox,35.0,6.16,0.56,3.44,0.58,1.78,0.37,0.7,0.2
Ilia Topuria,15.0,0.0,170.18,65.77,175.26,Orthodox,27.0,4.4,0.46,3.35,0.65,1.92,0.56,0.92,1.3
Robert Whittaker,26.0,7.0,182.88,83.91,185.42,Orthodox,33.0,4.57,0.42,3.45,0.59,0.81,0.38,0.82,0.0
Paulo Costa,14.0,3.0,185.42,83.91,182.88,Orthodox,32.0,6.2,0.58,6.38,0.47,0.45,0.75,0.8,0.0
Geoff Neal,15.0,6.0,180.34,77.11,190.5,Southpaw,33.0,4.97,0.5,5.47,0.57,0.46,0.44,0.87,0.1
Ian Machado Garry,14.0,0.0,190.5,77.11,187.96,Orthodox,26.0,6.27,0.55,3.49,0.53,0.55,0.75,0.69,0.0
Merab Dvalishvili,17.0,4.0,167.64,61.23,172.72,Orthodox,33.0,4.5,0.41,2.37,0.57,6.43,0.36,0.8,0.3
Henry Cejudo,16.0,4.0,162.56,61.23,162.56,Orthodox,37.0,3.77,0.46,3.29,0.6,1.99,0.32,0.75,0.2
Anthony Hernandez,12.0,2.0,182.88,83.91,190.5,Orthodox,30.0,4.3,0.59,3.46,0.45,6.62,0.49,0.63,3.0
Roman Kopylov,12.0,3.0,182.88,83.91,190.5,Southpaw,32.0,4.66,0.54,4.1,0.6,0.42,0.5,0.87,0.0
Amanda Lemos,14.0,3.0,162.56,52.16,165.1,Southpaw,36.0,3.43,0.54,4.21,0.44,0.98,0.63,0.57,0.7
Mackenzie Dern,13.0,5.0,162.56,52.16,160.02,Orthodox,31.0,3.31,0.4,4.09,0.51,0.79,0.15,0.28,1.3
Marcos Rogerio de Lima,22.0,10.0,185.42,114.76,190.5,Orthodox,38.0,3.7,0.57,2.9,0.51,1.4,0.45,0.59,0.5
Junior Tafa,5.0,2.0,190.5,108.86,190.5,Orthodox,27.0,1.81,0.4,1.86,0.5,0.0,0.0,0.81,0.0
Rinya Nakamura,9.0,0.0,170.18,61.23,172.72,Southpaw,29.0,3.53,0.54,1.38,0.67,3.72,0.9,1.0,1.6
Carlos Vera,11.0,4.0,167.64,61.23,175.26,Orthodox,36.0,0.8,0.48,2.53,0.45,0.0,0.0,0.0,0.0
Zhang Mingyang,17.0,6.0,187.96,92.99,190.5,Orthodox,25.0,9.23,0.57,6.39,0.57,0.0,0.0,0.0,0.0
Brendson Ribeiro,15.0,6.0,190.5,92.99,205.74,Orthodox,27.0,8.41,0.46,6.77,0.56,0.0,0.0,0.0,0.0
Josh Quinlan,6.0,2.0,182.88,77.11,182.88,Orthodox,31.0,3.59,0.42,6.91,0.49,0.51,0.11,0.6,0.0
Danny Barlow,8.0,0.0,187.96,77.11,200.66,Southpaw,28.0,8.8,0.52,3.65,0.57,0.0,0.0,1.0,0.0
Oban Elliott,10.0,2.0,182.88,77.11,182.88,Orthodox,26.0,4.27,0.53,2.17,0.61,3.5,0.5,0.0,0.0
Val Woodburn,7.0,2.0,172.72,77.11,187.96,Orthodox,30.0,1.6,0.35,4.93,0.36,1.92,1.0,0.5,0.0
Andrea Lee,13.0,9.0,167.64,56.7,175.26,Orthodox,35.0,4.69,0.46,3.76,0.62,1.85,0.58,0.55,0.6
Miranda Maverick,15.0,5.0,160.02,56.7,165.1,Southpaw,26.0,3.8,0.47,2.6,0.59,2.49,0.46,0.4,0.4
Jack Hermansson,24.0,8.0,185.42,83.91,195.58,Orthodox,35.0,5.09,0.44,3.69,0.56,1.53,0.3,0.8,0.4
Joe Pyfer,12.0,3.0,187.96,83.91,190.5,Orthodox,27.0,3.66,0.4,3.58,0.51,1.49,0.41,0.5,0.9
Dan Ige,18.0,7.0,170.18,65.77,180.34,Orthodox,32.0,3.76,0.45,3.52,0.57,1.06,0.26,0.58,0.3
Andre Fili,23.0,11.0,180.34,65.77,187.96,Orthodox,33.0,3.85,0.37,4.11,0.51,2.16,0.47,0.69,0.3
Robert Bryczek,17.0,6.0,182.88,83.91,190.5,Orthodox,33.0,2.13,0.24,4.47,0.6,0.0,0.0,1.0,0.0
Ihor Potieria,20.0,5.0,190.5,83.91,190.5,Southpaw,27.0,5.19,0.5,5.01,0.51,0.0,0.0,0.57,0.0
Brad Tavares,20.0,10.0,185.42,83.91,187.96,Orthodox,36.0,3.38,0.43,3.15,0.55,0.78,0.26,0.81,0.0
Gregory Rodrigues,15.0,5.0,190.5,83.91,190.5,Orthodox,32.0,6.08,0.55,5.3,0.51,2.46,0.45,1.0,0.5
Michael Johnson,23.0,19.0,177.8,70.31,185.42,Southpaw,37.0,4.27,0.39,3.83,0.57,0.62,0.41,0.81,0.0
Darrius Flowers,12.0,7.0,175.26,70.31,180.34,Orthodox,29.0,2.94,0.54,5.16,0.43,0.63,0.2,0.6,0.0
Rodolfo Vieira,10.0,2.0,182.88,83.91,185.42,Orthodox,34.0,3.19,0.54,4.6,0.49,4.18,0.3,1.0,1.6
Armen Petrosyan,9.0,3.0,190.5,83.91,180.34,Orthodox,33.0,5.69,0.52,2.9,0.56,0.22,0.33,0.31,0.0
Trevin Giles,16.0,6.0,182.88,77.11,187.96,Orthodox,31.0,3.27,0.55,2.22,0.58,1.19,0.5,0.71,0.3
Carlos Prates,18.0,6.0,185.42,77.11,198.12,Switch,30.0,4.38,0.56,5.95,0.37,0.0,0.0,0.66,0.0
Bolaji Oki,9.0,1.0,177.8,70.31,185.42,Orthodox,28.0,5.18,0.43,2.53,0.64,0.84,1.0,0.83,0.0
Timmy Cuamba,8.0,2.0,175.26,70.31,180.34,Orthodox,25.0,2.53,0.34,4.23,0.57,0.5,0.16,0.71,0.0
Loma Lookboonmee,9.0,3.0,154.94,52.16,154.94,Orthodox,28.0,4.1,0.57,2.48,0.53,1.9,0.5,0.72,0.1
Bruna Brasil,9.0,4.0,167.64,52.16,165.1,Orthodox,30.0,2.94,0.62,3.92,0.51,1.59,0.62,0.53,0.0
Devin Clark,14.0,9.0,182.88,92.99,190.5,Orthodox,33.0,3.03,0.54,3.24,0.44,2.17,0.32,0.58,0.1
Marcin Prachnio,17.0,7.0,190.5,92.99,187.96,Orthodox,35.0,5.61,0.55,3.3,0.54,0.17,0.2,0.58,0.0
Max Griffin,20.0,10.0,180.34,77.11,193.04,Orthodox,38.0,3.92,0.49,3.81,0.57,1.45,0.41,0.68,0.3
Jeremiah Wells,12.0,4.0,175.26,77.11,187.96,Switch,37.0,2.41,0.43,1.31,0.48,3.08,0.44,0.8,0.8
Zac Pauga,7.0,3.0,187.96,92.99,193.04,Orthodox,36.0,4.46,0.62,2.73,0.58,0.38,0.07,1.0,0.0
Bogdan Guskov,15.0,3.0,190.5,92.99,193.04,Orthodox,31.0,2.43,0.33,5.81,0.4,0.0,0.0,0.66,0.0
Fernie Garcia,10.0,5.0,170.18,61.23,170.18,Orthodox,31.0,2.04,0.34,3.79,0.48,0.28,0.5,0.5,0.6
Hyder Amil,9.0,0.0,175.26,65.77,177.8,Switch,33.0,4.73,0.54,2.16,0.61,0.68,0.33,0.78,2.0
Roman Dolidze,12.0,3.0,187.96,83.91,193.04,Orthodox,35.0,2.62,0.39,3.36,0.51,1.3,0.4,0.33,1.3
Nassourdine Imavov,13.0,4.0,190.5,83.91,190.5,Orthodox,29.0,4.53,0.54,3.26,0.61,0.87,0.31,0.76,1.5
Renato Moicano,18.0,5.0,180.34,70.31,182.88,Orthodox,34.0,4.41,0.47,3.8,0.6,1.8,0.47,0.72,0.6
Drew Dober,27.0,13.0,172.72,70.31,177.8,Southpaw,35.0,4.34,0.4,4.23,0.51,0.71,0.18,0.56,0.1
Randy Brown,18.0,5.0,190.5,77.11,198.12,Orthodox,33.0,4.37,0.46,3.33,0.54,0.78,0.39,0.74,0.5
Muslim Salikhov,19.0,5.0,180.34,77.11,177.8,Orthodox,39.0,3.36,0.51,2.94,0.62,1.27,0.4,0.73,0.0
Viviane Araujo,12.0,6.0,162.56,56.7,172.72,Orthodox,37.0,4.11,0.47,4.96,0.56,1.76,0.4,0.78,0.6
Natalia Silva,17.0,5.0,162.56,56.7,165.1,Southpaw,27.0,4.53,0.44,2.1,0.65,0.5,0.28,0.91,0.0
Gilbert Urbina,7.0,4.0,190.5,77.11,190.5,Orthodox,27.0,5.61,0.57,4.61,0.44,3.01,0.44,0.0,0.8
Charles Radtke,9.0,3.0,175.26,77.11,182.88,Orthodox,33.0,3.29,0.52,3.03,0.54,0.76,0.16,1.0,0.0
Molly McCann,14.0,6.0,162.56,52.16,157.48,Orthodox,33.0,5.79,0.49,4.94,0.63,1.82,0.38,0.43,0.6
Diana Belbita,15.0,9.0,170.18,52.16,172.72,Orthodox,27.0,6.54,0.42,6.55,0.51,0.91,0.62,0.65,0.0
Azat Maksum,17.0,1.0,170.18,56.7,177.8,Southpaw,29.0,2.8,0.23,5.23,0.55,2.0,0.22,0.66,0.5
Charles Johnson,14.0,6.0,175.26,56.7,177.8,Switch,33.0,4.45,0.55,3.15,0.59,0.48,0.23,0.63,0.6
Themba Gorimbo,12.0,4.0,185.42,77.11,195.58,Orthodox,33.0,2.3,0.6,1.67,0.46,3.39,0.45,0.66,0.0
Pete Rodriguez,5.0,2.0,175.26,77.11,180.34,Switch,27.0,9.28,0.43,12.83,0.42,0.0,0.0,1.0,0.0
JeongYeong Lee,11.0,1.0,177.8,65.77,185.42,Orthodox,28.0,2.81,0.53,1.57,0.59,0.96,0.66,0.76,0.5
Blake Bilder,8.0,2.0,172.72,65.77,172.72,Switch,33.0,3.81,0.48,4.15,0.53,0.31,0.07,0.71,0.6
Luana Carolina,10.0,4.0,167.64,56.7,175.26,Orthodox,30.0,4.63,0.49,3.63,0.49,0.38,0.42,0.76,0.6
Julija Stoliarenko,11.0,9.0,170.18,56.7,167.64,Orthodox,30.0,2.49,0.39,4.54,0.46,0.93,0.27,0.54,1.7
Landon Quinones,7.0,3.0,175.26,70.31,177.8,Southpaw,28.0,6.77,0.4,7.7,0.55,0.5,0.33,1.0,0.0
